"flightNumber","departureDate","requestDate","origin","destination","pmin"
"LX316",2016-06-09,2016-05-26,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-27,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-28,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-29,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-30,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-05-31,"ZRH","LHR",175.92
"LX316",2016-06-09,2016-06-01,"ZRH","LHR",175.52
"LX316",2016-06-09,2016-06-02,"ZRH","LHR",195
"LX316",2016-06-09,2016-06-03,"ZRH","LHR",208.4
"LX316",2016-06-09,2016-06-04,"ZRH","LHR",217.15
"LX316",2016-06-09,2016-06-05,"ZRH","LHR",236.3
"LX316",2016-06-09,2016-06-06,"ZRH","LHR",237.4
"LX316",2016-06-09,2016-06-07,"ZRH","LHR",237.4
"LX316",2016-06-09,2016-06-08,"ZRH","LHR",247.86
"LX316",2016-06-10,2016-05-20,"ZRH","LHR",195
"LX316",2016-06-10,2016-05-21,"ZRH","LHR",208.9
"LX316",2016-06-10,2016-05-22,"ZRH","LHR",208.9
"LX316",2016-06-10,2016-05-23,"ZRH","LHR",208.9
"LX316",2016-06-10,2016-05-24,"ZRH","LHR",208.9
"LX316",2016-06-10,2016-05-25,"ZRH","LHR",208.9
"LX316",2016-06-10,2016-05-26,"ZRH","LHR",208.9
"LX316",2016-06-10,2016-05-27,"ZRH","LHR",237.98
"LX316",2016-06-10,2016-05-28,"ZRH","LHR",237.98
"LX316",2016-06-10,2016-05-29,"ZRH","LHR",237.98
"LX316",2016-06-10,2016-05-30,"ZRH","LHR",237.98
"LX316",2016-06-10,2016-05-31,"ZRH","LHR",237.98
"LX316",2016-06-10,2016-06-01,"ZRH","LHR",237.4
"LX316",2016-06-10,2016-06-02,"ZRH","LHR",237.4
"LX316",2016-06-10,2016-06-03,"ZRH","LHR",256.71
"LX316",2016-06-10,2016-06-04,"ZRH","LHR",243.3
"LX316",2016-06-10,2016-06-05,"ZRH","LHR",256.71
"LX316",2016-06-10,2016-06-06,"ZRH","LHR",256.71
"LX316",2016-06-10,2016-06-07,"ZRH","LHR",256.71
"LX316",2016-06-10,2016-06-08,"ZRH","LHR",256.71
"LX316",2016-06-10,2016-06-09,"ZRH","LHR",256.71
"LX316",2016-06-11,2016-05-21,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-22,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-23,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-24,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-25,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-26,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-27,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-28,"ZRH","LHR",111
"LX316",2016-06-11,2016-05-29,"ZRH","LHR",121.76
"LX316",2016-06-11,2016-05-30,"ZRH","LHR",121.76
"LX316",2016-06-11,2016-05-31,"ZRH","LHR",111
"LX316",2016-06-11,2016-06-01,"ZRH","LHR",111
"LX316",2016-06-11,2016-06-02,"ZRH","LHR",111
"LX316",2016-06-11,2016-06-03,"ZRH","LHR",122.75
"LX316",2016-06-11,2016-06-04,"ZRH","LHR",111
"LX316",2016-06-11,2016-06-05,"ZRH","LHR",111
"LX316",2016-06-11,2016-06-06,"ZRH","LHR",152.28
"LX316",2016-06-11,2016-06-07,"ZRH","LHR",152.28
"LX316",2016-06-11,2016-06-08,"ZRH","LHR",175.52
"LX316",2016-06-11,2016-06-09,"ZRH","LHR",175.52
"LX316",2016-06-11,2016-06-10,"ZRH","LHR",179.3
"LX316",2016-06-12,2016-05-22,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-23,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-24,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-25,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-26,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-27,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-28,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-29,"ZRH","LHR",208.9
"LX316",2016-06-12,2016-05-30,"ZRH","LHR",179.3
"LX316",2016-06-12,2016-05-31,"ZRH","LHR",175.52
"LX316",2016-06-12,2016-06-01,"ZRH","LHR",125.3
"LX316",2016-06-12,2016-06-02,"ZRH","LHR",111
"LX316",2016-06-12,2016-06-03,"ZRH","LHR",111
"LX316",2016-06-12,2016-06-04,"ZRH","LHR",122.75
"LX316",2016-06-12,2016-06-05,"ZRH","LHR",152.28
"LX316",2016-06-12,2016-06-06,"ZRH","LHR",152.28
"LX316",2016-06-12,2016-06-07,"ZRH","LHR",152.28
"LX316",2016-06-12,2016-06-08,"ZRH","LHR",152.28
"LX316",2016-06-12,2016-06-09,"ZRH","LHR",175.52
"LX316",2016-06-12,2016-06-10,"ZRH","LHR",175.52
"LX316",2016-06-12,2016-06-11,"ZRH","LHR",208.4
"LX316",2016-06-13,2016-05-23,"ZRH","LHR",208.9
"LX316",2016-06-13,2016-05-24,"ZRH","LHR",208.9
"LX316",2016-06-13,2016-05-25,"ZRH","LHR",208.9
"LX316",2016-06-13,2016-05-26,"ZRH","LHR",208.9
"LX316",2016-06-13,2016-05-27,"ZRH","LHR",237.98
"LX316",2016-06-13,2016-05-28,"ZRH","LHR",213.3
"LX316",2016-06-13,2016-05-29,"ZRH","LHR",180.53
"LX316",2016-06-13,2016-05-30,"ZRH","LHR",175.92
"LX316",2016-06-13,2016-05-31,"ZRH","LHR",178.01
"LX316",2016-06-13,2016-06-01,"ZRH","LHR",208.4
"LX316",2016-06-13,2016-06-02,"ZRH","LHR",183.5
"LX316",2016-06-13,2016-06-03,"ZRH","LHR",208.4
"LX316",2016-06-13,2016-06-04,"ZRH","LHR",208.4
"LX316",2016-06-13,2016-06-05,"ZRH","LHR",208.4
"LX316",2016-06-13,2016-06-06,"ZRH","LHR",208.9
